date;avtor;title;link;img;text
2022-10-30, 11:30;denis-19;СМИ: Маск готовит сокращения штата в Twitter, команд разработчиков и инженеров это коснётся минимальным образом;https://habr.com/ru/news/t/696290/;https://habrastorage.org/r/w780q1/webt/cj/rs/yx/cjrsyxgfnev_ycjby3l9omnb-6o.jpeg;
2022-10-30, 10:48;maybe_elf;«Джеймс Уэбб» сделал более детальный снимок «Столпов Творения»;https://habr.com/ru/news/t/696286/;https://habrastorage.org/r/w780q1/getpro/habr/upload_files/00e/deb/061/00edeb061af9e7c24a70a464b7dcd742.jpg;Космический телескоп «Джеймс Уэбб» прислал более детальный снимок «Столпов Творения». Инструмент Mid-Infrared Instrument (MIRI) обсерватории смог запечатлеть столбы, заполненные газом и пылью, в окружении звёзд. Изображение в среднем инфракрасном диапазоне по-новому раскрыло ландшафт «Столпов Творения». Оно детализирует расположение звёздной пыли, а вот сами звёзды недостаточно яркие, чтобы их можно было увидеть. Однако MIRI позволяет наблюдать за молодыми звёздами, которые ещё окружены «плащами» из пыли. На снимке они выглядят как малиновые шары по краям столпов. Напротив, голубые звёзды, которые усеивают сцену, — стареющие.Самые плотные участки пыли имеют тёмные оттенки серого. Красная область вверху, напоминающая букву V, — это место, где пыль рассеяна. Благодаря новому изображению MIRI астрономы получили данные с более высоким разрешением в среднем инфракрасном диапазоне, чем когда-либо прежде. Их используют, чтобы создать более полный трёхмерный ландшафт этого отдалённого региона.«То, что мы видим на этом новом изображении, похоже на своего рода внешнюю оболочку “столпов”. Можно рассмотреть нитевидные структуры, в которых сквозь пыль начинает пробиваться свет первых звёзд. А можно увидеть и тёмные области — настолько плотные и холодные, что MIRI не улавливает оттуда вообще никакого излучения», — заявил директор британского Центра астрономических технологий и соруководитель проекта профессор Джиллиан Райт.«Столпы творения» расположены в туманности Орёл, которая находится на расстоянии 6500 световых лет.В октябре НАСА уже представило новый снимок «Столпов Творения», созданный «Джеймсом Уэббом». Оно сравнило два изображения «Хаббла» и «Уэбба», чтобы показать разницу в возможностях космических телескопов, работающих в разных диапазонах.
2022-10-30, 10:46;denis-19;AMD отключила русскоязычный раздел на сайте и сделала переадресацию на английскую версию;https://habr.com/ru/news/t/696284/;https://habrastorage.org/r/w780q1/webt/gu/ea/0c/guea0cr1mkajild2fonahv5n9z8.jpeg;
2022-10-30, 10:19;maybe_elf;НАСА завершило ремонт SLS и 4 ноября вернёт ракету на стартовую площадку;https://habr.com/ru/news/t/696282/;https://habrastorage.org/r/w780q1/getpro/habr/upload_files/6a6/e22/e31/6a6e22e3162a7d0bc13d5f309c93c553.jpg;Инженеры НАСА завершили ремонт и готовятся перевезти ракету Space Launch System с космическим кораблём Orion из здания сборки транспортных средств (VAB) на стартовую площадку 4 ноября.В настоящее время идёт подготовка к развёртыванию мобильной пусковой установки путём настройки манипуляторов и шлангокабелей.Испытания системы управления реакцией на спаренных твердотопливных ракетах-носителях, а также установка лётных батарей завершены, и эти компоненты готовы к полёту. Инженеры также заменили батареи на промежуточной криогенной двигательной ступени (ICPS). Бригады продолжают работы в межбаковой зоне основной ступени и верхней части ускорителей для замены батарей. На следующей неделе начнутся испытания системы прекращения полета на промежуточном баке и ускорителе, и после завершения эти элементы будут готовы к запуску. Также команды перезарядили, заменили и переустановили несколько радиационных приборов и акселерометр сиденья экипажа внутри Orion. Технические специалисты обновят образцы полезной нагрузки космической биологии на стартовой площадке. НАСА по-прежнему планирует запустить миссию «Артемида-1» не ранее 14 ноября. Стартовое окно запуска откроется в 00:07 по времени Восточного побережья США (07:07 МСК) и закроется в 01:16 (08:16). Если запуск состоится, ракета направится к Луне, облетит её и вернётся обратно. Миссия продлится 25 дней, приводнение запланировано на 9 декабря. Возможные резервные даты запуска — 16 и 19 ноября.24 сентября НАСА сообщило, что откладывает запланированный на 27 сентября запуск «Артемиды-1» из-за тропического шторма. 26 сентября ракету убрали со стартовой площадки в сборочный цех для защиты от непогоды и сильного ветра.13 сентября НАСА перенесло запуск из-за необходимости проведения ремонтных и тестовых работ.3 сентября НАСА за два с половиной часа до старта отменило повторную попытку запуска к Луне миссии «Артемида-1». У ракеты-носителя SLS, на которой установлен Orion с десятью кубсатами, возникли проблемы с утечкой топлива. Попытка исправить ситуацию на месте ни к чему не привела.
2022-10-30, 08:10;denis-19;СМИ: Генпрокуратура РФ не направляла в Роскомнадзор требование о блокировке домена t.me;https://habr.com/ru/news/t/696280/;https://habrastorage.org/r/w780q1/getpro/habr/post_images/f09/bcb/ae8/f09bcbae8d57719c2b688320a05878c7.jpg;
2022-10-30, 00:00;denis-19;Роскомнадзор разблокировал домен t.me спустя полчаса после начала блокировки;https://habr.com/ru/news/t/696262/;https://habrastorage.org/r/w1560/webt/nl/ek/fm/nlekfmurpmnojnidky2xz-2hcxa.png;
2022-10-29, 23:30;denis-19;Эксперты: сервисы и ресурсы Telegram, кроме домена t.me, РКН не блокируются. РКН: блокировка мессенджера исключена;https://habr.com/ru/news/t/696260/;https://habrastorage.org/r/w780q1/webt/as/f4/mn/asf4mncto9jwrequcbqmuyudamk.jpeg;
2022-10-29, 23:07;TsarS;Роскомнадзор ограничил доступ к домену t.me по требованию Генпрокуратуры;https://habr.com/ru/news/t/696258/;https://mc.yandex.ru/watch/24049213;Доступ к домену t.me, принадлежащему мессенджеру Telegram, ограничен, следует в из данных сервиса Роскомнадзора для проверки ограничения доступа к сайтам и (или) страницам сайтов в интернете.В реестре указано, что доступ к странице ограничен по требованию Генпрокуратуры РФДомен используется при создании сокращенных ссылок в мессенджере.  Из него следует, что основанием для внесения сервиса в реестр Роскомнадзора стала ст. 15.3 закона об информации (ограничение доступа к сайтам в интернете, содержащим информацию с призывами к массовым беспорядкам, осуществлению экстремистской деятельности или участию в массовых мероприятиях, проводимых с нарушением установленного порядка, недостоверную общественно значимую информацию). 
2022-10-29, 17:40;Travis_Macrif;Группировку ДЗЗ-спутников «Цзилинь-1» увеличат двукратно;https://habr.com/ru/news/t/696228/;https://habrastorage.org/r/w780q1/webt/lr/wm/ha/lrwmhand4bghc7qctuok_idfcc4.jpeg;Китайская коммерческая компания Changguang Satellite Technology сообщила о намерении расширить спутниковую группировку дистанционного зондирования Земли «Цзилинь-1» со 138 до 300 аппаратов.Базирующийся в Чанчуне производитель и оператор спутников CGST планировал, что развернёт на орбите группировку из 138 спутников к 2025 году. Однако теперь стало известно, что запуск данного количества аппаратов является первой стадией, которая будет завершена к 2023 году. На втором этапе группировку расширят до 300 спутников к 2025 году.27 октября китайские СМИ сообщили, что пять новых спутников — «Цзилинь-1 Гаофэнь 03D08» и «Цзилинь-1 Гаофэнь 03D51-54» отправили на космодром Цзюцюань в пустыне Гоби.CGST основали в 2014 году как ответвление государственного Чанчуньского института оптики, точной механики и физики Китайской академии наук в области дистанционного зондирования. В ноябре 2020 года компания получила $375 млн для проекта «Цзилинь-1», CGST в настоящий момент располагает самой крупной китайской коммерческой группировкой спутников на орбите. Производитель стал одной из самых хорошо финансируемых коммерческих компаний, которые появились в Китае после решения об открытии частного капитала от 2014 года.Аппараты «Цзилинь-1» способны передавать панхроматические изображения разрешением от 0,50 до 0,75 м. Остальные аппараты группировки оснащены инструментами для записи видео, мультиспектральных, многоцелевых, инфракрасных и других возможностей. Информационные продукты проекта коммерциализируются китайской компанией HEAD Aerospace.Последнюю партия из 16 спутников «Цзилинь-1» запустили 10 августа, в настоящее время CGST имеет на орбите 70 спутников, 10 из которых являются оптическими спутниками «Цзилинь-1 Гаофэнь 03D», предназначенные для обеспечения разрешения 0,75 м с высоты около 535 км. 6 спутников — «Цзилинь-1 Хунвай 1» — производят инфракрасные изображения, данные аппараты разработала компания Yunyao Aerospace.В мае 2022 года CGST запустила 8 спутников «Цзилинь-1» и заявила, что аппараты способны занимать позицию над любым местом Земли от 17 до 20 раз в сутки. Компания подчёркивает, что использует группировку для нужд сельского и лесного хозяйств, для охраны окружающей среды, наблюдения за океанами и городским строительством, а также для проведения научных экспериментов.Расширение созвездия «Цзилинь-1» является реакцией Китая на использование группировки спутников SpaceX Starlink в военных действиях на территории Украины. Представители китайской армии заявили, что компании Maxar и BlackSky предоставили спутниковые снимки передвижения российских войск украинской стороне. Военные КНР обвинили США в стирании границ между военной и гражданской сферами, вовлекая коммерческие компании и общественность в космическую гонку вооружений, чтобы обеспечить господствующее положение в космосе.Заместитель командующего космическими операциями США генерал Дэвид Томпсон заявил, что Соединённые Штаты будут наращивать финансирование отрасли, чтобы противостоять стремительному прогрессу Китая в космической сфере. По словам Томпсона, за последние пять лет КНР развернула более 260 спутников для съёмки и около 50 навигационных аппаратов.
2022-10-29, 16:07;Travis_Macrif;Xiaomi закрыла направление финансовых услуг в Индии;https://habr.com/ru/news/t/696220/;https://habrastorage.org/r/w780q1/webt/d1/ks/bn/d1ksbnzpm79ylbjodbuq2nhxpha.jpeg;Китайская компания-производитель мобильных устройств и гаджетов Xiaomi закрыла свой бизнес финансовых услуг в Индии спустя четыре года после запуска, сообщил представитель Xiaomi India. В компании рассказали, что Mi Financial Service прекратил деятельность в марте 2022 года в связи с пересмотром стратегической оценки и усилением внимания к бизнес-услугам Xiaomi со стороны регулирующих органов страны.Приложение Mi Pay больше не числится в списке сторонних приложений Unified Payments Interface на сайте Национальной платёжной корпорации Индии (National Payments Corporation of India или NPCI). Софт позволял пользователям оплачивать счета и переводить деньги.NPCI — отраслевой орган, курирующий поддерживаемую государством сеть P2P-платежей в Индии.Ранее Xiaomi исключила Mi Credit и Mi Pay из индийского Play Store, а также собственного магазина приложений. Mi Credit обеспечивает связь пользователей с кредитными фирмами для оформления быстрых займов.За последний год Xiaomi стала объектом для расследования индийских правительственных органов, которые обвиняют компанию в уклонении от уплаты налогов. Индия является вторым крупным рынком Xiaomi после Китая.В апреле 2022 года Управление правоприменения Минфина Индии конфисковало активы Xiaomi India на сумму $726 млн. Регулятор заявил, что Xiaomi проводила незаконные денежные переводы иностранным компаниям, выдавая их за роялти. В компании стали отрицать какие-либо нарушения, заявив, что действия управления остановили деятельность Xiaomi на ключевом рынке.В мае 2020 года на границе Индии и Китая произошло военное столкновение из-за спорного региона Аксайчин. С тех пор между странами существует политическая напряжённость. За два года Индия запретила более 300 китайских приложений из соображений национальной безопасности, в том числе, сервис коротких видео TikTok. Кроме того, страна ужесточила правила для китайских компаний, которые инвестируют в Индию.
2022-10-29, 15:42;AnnieBronson;Биткоин-майнер Core Scientific предупредил о вероятном банкротстве;https://habr.com/ru/news/t/696216/;https://habrastorage.org/r/w780q1/getpro/habr/upload_files/4be/d42/448/4bed424483dbbdee99a24fc8336faa9e.jpg;Криптовалютная фирма и провайдер блокчейн-хостинга Core Scientific предупредила, что конца года может полностью исчерпать свои финансовые резервы и обанкротиться. Соответствующую информацию компания включила в отчёт для Комиссии по ценным бумагам и биржам США (SEC). Проблемы с ликвидностью у Core Scientific возникли из-за падения стоимости биткоина, роста цен на электроэнергию и возросшей конкуренции на рынке. Свою роль сыграл также судебный спор с криптовалютной платформой Celsius Network, говорится в отчёте компании.У Celsius Network, инициировавшей банкротство ранее в этом году, есть непогашенные долги перед Core Scientific в размере $5,4 млн. Задолженность, связанная с неоплаченными услугами за хостинг оборудования, значительно ухудшила финансовое положение Core Scientific. Компания намерена пропустить платёж по долгу, который ей необходимо сделать в ближайшие дни, и привлекла Weil, Gotshal & Manges LLP и PJT Partners в качестве юридических и финансовых консультантов.По данным на 27 октября, на балансе компании было 24 биткоина и $26,6 млн. Для сравнения, в сентябре резервы составляли 1,051 тыс. биткоинов и $29,5 млн. Акции Core Scientific рухнули на 73% на торгах в четверг. С начала года их стоимость упала более чем на 97%.
2022-10-29, 15:20;AnnieBronson;Apple сообщила о рекордной выручке в четвёртом квартале в размере $90,1 млрд;https://habr.com/ru/news/t/696214/;https://habrastorage.org/r/w780q1/getpro/habr/upload_files/69e/684/f9e/69e684f9eaefebda5d36c113dc394d64.jpg;Apple сообщила о доходах за четвёртый квартал 2022 финансового года, завершившийся 24 сентября. Результаты компании превзошли ожидания аналитиков Уолл-стрит: доход Apple достиг $90,15 млрд, что на 8,1% больше по сравнению с прошлым годом. Большую часть этой суммы составил доход от iPhone, достигший $42,63 млрд против прогноза в $43,21 млрд долларов, рост на 9,67% по сравнению с прошлым годом. Доход от Mac составил $11,51 против прогнозов в $9,36 млрд, увеличившись на 25,39%, несмотря на проблемы в цепочках поставок, замедлившие продажи ноутбуков и настольных компьютеров после двух лет бума во время пандемии. Доход от прочих продуктов, куда входят смарт-часы и наушники, составил $9,65 млрд против прогнозируемых $9,17 млрд. Некоторые аналитики полагали, что носимые устройства Apple, скорее всего, пострадают, если страхи покупателей перед рецессией замедлят расходы, однако этот бизнес вырос почти на 10% в годовом исчислении. Ниже прогнозов аналитиков оказались доходы от продаж iPad: $7,17 млрд против $7,94 млрд. Услуги и подписки также принесли компании меньше ожидаемого: $19,19 млрд против $20,10 млрд. Apple не предоставила официальных прогнозов на следующий квартал, который закончится в декабре. Компания отказывается от прогнозов с 2020 года, ссылаясь на неопределённость на рынках, однако финансовый директор Apple Лука Маэстри заявил, что общий годовой доход вырастет в декабре менее чем на 8,1% по сравнению с сентябрьским кварталом, а продажи Mac снизятся в годовом исчислении. Он также полагает, что доход от услуг вырастет по сравнению с прошлым годом в течение квартала «в силу макроэкономических факторов».«Мы продолжаем инвестировать в долгосрочные программы и вернули нашим акционерам более $29 млрд в течение квартала. Этот квартал стал ещё одним рекордом для Apple: выручка выросла более чем на $28 млрд, а операционный денежный поток — на $18 млрд по сравнению с прошлым годом», — заявил Маэстри.Совет директоров Apple объявил денежный дивиденд в размере $0,23 на акцию. Дивиденды подлежат выплате 10 ноября 2022 года.
